Rank,Name,Game,Score
73,乔金·奥尔多夫,23,23024
74,路易斯·拉蒙·加里多,15,22799
75,舒之颢,26,22772
76,舍沙·海仁·雷斯塔维托,9,22370
77,丹尼洛·博斯尼乌克,19,22189
78,阿尤什·谢蒂,10,21950
79,王柏崴,13,21870
80,凯·谢弗,27,21721
81,法比安·罗斯,22,21657
82,路易斯,23,21592
83,陈延泽,12,21589
84,梅拉巴鲁旺,23,21213
85,阮海当,23,21200
86,黎德发,19,21070
87,卢卡斯·克莱伯特,11,20416
88,吴英伦,13,20357
89,柯林斯·瓦伦丁·菲利蒙,16,20330
90,法比奥·卡波尼奥,22,20309
91,肖勒·艾迪尔,13,20270
92,秦野陆,13,19860
93,汤米·苏吉亚托,11,19440
94,达尼尔·杜博文科,13,19300
95,郭冠麟,20,18960
96,贺首维,6,18850
97,马克斯·卫斯基兴,21,18669
98,马库斯·巴思,26,18625
99,乔兰·奎克尔,16,18557
100,维克多·赖,12,18357
1,安赛龙,14,97015
2,石宇奇,20,90184
3,安德斯·安东森,20,85944
4,李诗沣,22,83948
5,安东尼·西尼苏卡·金廷,19,81501
6,奈良冈功大,21,81015
7,普兰诺伊·哈塞纳·苏尼尔·库马尔,20,77647
8,昆拉武特·威提讪,20,73398
9,乔纳坦·克里斯蒂,18,73131
10,李梓嘉,24,70096
11,西本拳太,28,67182
12,骆建佑,22,66702
13,李卓耀,27,63599
14,周天成,28,62398
15,翁泓阳,21,61750
16,黄智勇,22,61015
17,陆光祖,21,59041
18,常山干太,23,56981
19,拉克什亚·森,22,56321
20,渡边航贵,17,54981
21,林俊易,29,54136
22,杨灿,26,53273
23,伍家朗,25,52536
